Year,Local Government Area,Location Division,Location Subdivision,Location Group,Offence Count
2023,Alpine,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,5
2023,Alpine,1 Residential,11 Dwelling - private,112 House,150
2023,Alpine,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,9
2023,Alpine,1 Residential,11 Dwelling - private,117 Farm House,3
2023,Alpine,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2023,Alpine,1 Residential,12 Dwelling  - non-private,123 Guest House,1
2023,Alpine,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,9
2023,Alpine,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,2
2023,Alpine,1 Residential,13 Grounds/surrounding land,1310 Farm Building,4
2023,Alpine,1 Residential,13 Grounds/surrounding land,132 Backyard,10
2023,Alpine,1 Residential,13 Grounds/surrounding land,133 Frontyard,8
2023,Alpine,1 Residential,13 Grounds/surrounding land,134 Garage,4
2023,Alpine,1 Residential,13 Grounds/surrounding land,135 Shed,6
2023,Alpine,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),1
2023,Alpine,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,9
2023,Alpine,2 Community,21 Education,211 School,1
2023,Alpine,2 Community,21 Education,212 School Grounds,1
2023,Alpine,2 Community,21 Education,213 Other Educational,2
2023,Alpine,2 Community,22 Health,221 Hospital,1
2023,Alpine,2 Community,22 Health,224 Other Health,1
2023,Alpine,2 Community,23 Religious,231 Church,1
2023,Alpine,2 Community,25 Other Transport,251 Private Car,1
2023,Alpine,2 Community,25 Other Transport,255 Carpark (Single Level),1
2023,Alpine,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2023,Alpine,2 Community,26 Justice,261 Police Station,4
2023,Alpine,2 Community,26 Justice,262 Court,1
2023,Alpine,2 Community,27 Open Space,271 Parkland/Reserve,26
2023,Alpine,2 Community,27 Open Space,272 Rural,2
2023,Alpine,2 Community,27 Open Space,275 Other Open Space,3
2023,Alpine,2 Community,28 Street/footpath,281 Street/Lane/Footpath,66
2023,Alpine,2 Community,29 Other community location,294 Car Wash,2
2023,Alpine,3 Other,31 Admin/professional,311 Business Office,1
2023,Alpine,3 Other,31 Admin/professional,312 Other Admin/Professional,1
2023,Alpine,3 Other,32 Financial,321 Bank,1
2023,Alpine,3 Other,33 Retail,331 Chemist/Pharmacy,1
2023,Alpine,3 Other,33 Retail,3310 24Hr Convenience,1
2023,Alpine,3 Other,33 Retail,3311 Restaurant/Fastfood,8
2023,Alpine,3 Other,33 Retail,3312 Other Retail,20
2023,Alpine,3 Other,33 Retail,332 Service Station,9
2023,Alpine,3 Other,33 Retail,334 2nd Hand Dealer,1
2023,Alpine,3 Other,33 Retail,335 Supermarket,5
2023,Alpine,3 Other,33 Retail,339 Milkbar,3
2023,Alpine,3 Other,37 Agricultural,371 Farmland/Agricultural,3
2023,Alpine,3 Other,37 Agricultural,373 Other Agricultural,2
2023,Alpine,3 Other,38 Recreational,381 Licensed Premises,19
2023,Alpine,3 Other,38 Recreational,383 Cinema,1
2023,Alpine,3 Other,38 Recreational,384 Sport Area/Facility,5
2023,Alpine,3 Other,38 Recreational,386 Other Rec./Sports,2
2023,Alpine,3 Other,39 Other location,392 Other Location (Not Elsewhere),10
2023,Alpine,3 Other,39 Other location,393 Construction Site,3
2023,Ararat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,161
2023,Ararat,1 Residential,11 Dwelling - private,112 House,468
2023,Ararat,1 Residential,11 Dwelling - private,113 Bungalow,1
2023,Ararat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,5
2023,Ararat,1 Residential,11 Dwelling - private,116 Ministry Of Housing,2
2023,Ararat,1 Residential,11 Dwelling - private,117 Farm House,10
2023,Ararat,1 Residential,12 Dwelling  - non-private,121 Boarding House,2
2023,Ararat,1 Residential,12 Dwelling  - non-private,124 Nursing Home,5
2023,Ararat,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,4
2023,Ararat,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,3
2023,Ararat,1 Residential,13 Grounds/surrounding land,1310 Farm Building,9
2023,Ararat,1 Residential,13 Grounds/surrounding land,132 Backyard,27
2023,Ararat,1 Residential,13 Grounds/surrounding land,133 Frontyard,31
2023,Ararat,1 Residential,13 Grounds/surrounding land,134 Garage,10
2023,Ararat,1 Residential,13 Grounds/surrounding land,135 Shed,11
2023,Ararat,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,5
2023,Ararat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),6
2023,Ararat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,33
2023,Ararat,2 Community,21 Education,211 School,8
2023,Ararat,2 Community,21 Education,212 School Grounds,3
2023,Ararat,2 Community,22 Health,221 Hospital,4
2023,Ararat,2 Community,22 Health,222 Medical Centre,1
2023,Ararat,2 Community,22 Health,224 Other Health,1
2023,Ararat,2 Community,24 Public Transport,241 Train,3
2023,Ararat,2 Community,24 Public Transport,2410 Rail Track,2
2023,Ararat,2 Community,24 Public Transport,242 Train Station,5
2023,Ararat,2 Community,24 Public Transport,243 Railway Carpark,1
2023,Ararat,2 Community,24 Public Transport,245 Bus/Bus Stop,1
2023,Ararat,2 Community,25 Other Transport,251 Private Car,7
2023,Ararat,2 Community,25 Other Transport,255 Carpark (Single Level),8
2023,Ararat,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2023,Ararat,2 Community,26 Justice,261 Police Station,7
2023,Ararat,2 Community,26 Justice,262 Court,26
2023,Ararat,2 Community,26 Justice,265 Other Justice Facility,9
2023,Ararat,2 Community,26 Justice,269 Other Justice (nec),1
2023,Ararat,2 Community,27 Open Space,271 Parkland/Reserve,19
2023,Ararat,2 Community,27 Open Space,272 Rural,1
2023,Ararat,2 Community,27 Open Space,273 Vacant Block,1
2023,Ararat,2 Community,27 Open Space,275 Other Open Space,6
2023,Ararat,2 Community,28 Street/footpath,281 Street/Lane/Footpath,236
2023,Ararat,2 Community,29 Other community location,291 Cemetery,1
2023,Ararat,2 Community,29 Other community location,294 Car Wash,2
2023,Ararat,3 Other,31 Admin/professional,311 Business Office,4
2023,Ararat,3 Other,32 Financial,323 ATM/Eftpos,2
2023,Ararat,3 Other,33 Retail,331 Chemist/Pharmacy,2
2023,Ararat,3 Other,33 Retail,3310 24Hr Convenience,3
2023,Ararat,3 Other,33 Retail,3311 Restaurant/Fastfood,5
2023,Ararat,3 Other,33 Retail,3312 Other Retail,14
2023,Ararat,3 Other,33 Retail,332 Service Station,21
2023,Ararat,3 Other,33 Retail,334 2nd Hand Dealer,1
2023,Ararat,3 Other,33 Retail,335 Supermarket,19
2023,Ararat,3 Other,33 Retail,336 Department Store,4
2023,Ararat,3 Other,33 Retail,337 Shopping Complex,4
2023,Ararat,3 Other,33 Retail,339 Milkbar,2
2023,Ararat,3 Other,35 Warehousing/storage,351 Warehousing/Storage,1
2023,Ararat,3 Other,36 Manufacturing,361 Factory,1
2023,Ararat,3 Other,36 Manufacturing,362 Any Manufacturing,6
2023,Ararat,3 Other,37 Agricultural,371 Farmland/Agricultural,25
2023,Ararat,3 Other,37 Agricultural,373 Other Agricultural,2
2023,Ararat,3 Other,38 Recreational,381 Licensed Premises,14
2023,Ararat,3 Other,38 Recreational,384 Sport Area/Facility,15
2023,Ararat,3 Other,38 Recreational,386 Other Rec./Sports,8
2023,Ararat,3 Other,38 Recreational,387 Gym/Fitness,1
2023,Ararat,3 Other,39 Other location,392 Other Location (Not Elsewhere),43
2023,Ararat,3 Other,39 Other location,393 Construction Site,4
2023,Ararat,3 Other,39 Other location,394 Veterinary Clinic,1
2023,Ballarat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,384
2023,Ballarat,1 Residential,11 Dwelling - private,112 House,3431
2023,Ballarat,1 Residential,11 Dwelling - private,113 Bungalow,7
2023,Ballarat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,6
2023,Ballarat,1 Residential,11 Dwelling - private,115 Houseboat,1
2023,Ballarat,1 Residential,11 Dwelling - private,116 Ministry Of Housing,12
2023,Ballarat,1 Residential,11 Dwelling - private,117 Farm House,14
2023,Ballarat,1 Residential,12 Dwelling  - non-private,121 Boarding House,12
2023,Ballarat,1 Residential,12 Dwelling  - non-private,122 Holiday Home,7
2023,Ballarat,1 Residential,12 Dwelling  - non-private,123 Guest House,11
2023,Ballarat,1 Residential,12 Dwelling  - non-private,124 Nursing Home,5
2023,Ballarat,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,67
2023,Ballarat,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,15
2023,Ballarat,1 Residential,13 Grounds/surrounding land,132 Backyard,80
2023,Ballarat,1 Residential,13 Grounds/surrounding land,133 Frontyard,228
2023,Ballarat,1 Residential,13 Grounds/surrounding land,134 Garage,109
2023,Ballarat,1 Residential,13 Grounds/surrounding land,135 Shed,78
2023,Ballarat,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,68
2023,Ballarat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),33
2023,Ballarat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,476
2023,Ballarat,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,18
2023,Ballarat,2 Community,21 Education,211 School,73
2023,Ballarat,2 Community,21 Education,212 School Grounds,54
2023,Ballarat,2 Community,21 Education,213 Other Educational,21
2023,Ballarat,2 Community,22 Health,221 Hospital,43
2023,Ballarat,2 Community,22 Health,222 Medical Centre,11
2023,Ballarat,2 Community,22 Health,223 Dental,4
2023,Ballarat,2 Community,22 Health,224 Other Health,23
2023,Ballarat,2 Community,23 Religious,231 Church,15
2023,Ballarat,2 Community,23 Religious,232 Other religious,1
2023,Ballarat,2 Community,24 Public Transport,241 Train,3
2023,Ballarat,2 Community,24 Public Transport,242 Train Station,49
2023,Ballarat,2 Community,24 Public Transport,243 Railway Carpark,35
2023,Ballarat,2 Community,24 Public Transport,244 Tram/Tram Stop,1
2023,Ballarat,2 Community,24 Public Transport,245 Bus/Bus Stop,39
2023,Ballarat,2 Community,24 Public Transport,246 Depot/Terminal,4
2023,Ballarat,2 Community,24 Public Transport,249 Taxi,5
2023,Ballarat,2 Community,25 Other Transport,251 Private Car,11
2023,Ballarat,2 Community,25 Other Transport,252 Airfield,1
2023,Ballarat,2 Community,25 Other Transport,255 Carpark (Single Level),225
2023,Ballarat,2 Community,25 Other Transport,256 Carpark (Multi Level),11
2023,Ballarat,2 Community,25 Other Transport,257 Other Transport Type/Area,15
2023,Ballarat,2 Community,26 Justice,261 Police Station,103
2023,Ballarat,2 Community,26 Justice,262 Court,169
2023,Ballarat,2 Community,26 Justice,264 Youth Training Centre,1
2023,Ballarat,2 Community,26 Justice,265 Other Justice Facility,12
2023,Ballarat,2 Community,27 Open Space,271 Parkland/Reserve,116
2023,Ballarat,2 Community,27 Open Space,272 Rural,10
2023,Ballarat,2 Community,27 Open Space,273 Vacant Block,9
2023,Ballarat,2 Community,27 Open Space,275 Other Open Space,23
2023,Ballarat,2 Community,28 Street/footpath,281 Street/Lane/Footpath,1885
2023,Ballarat,2 Community,29 Other community location,291 Cemetery,2
2023,Ballarat,2 Community,29 Other community location,292 Civic Centre,6
2023,Ballarat,2 Community,29 Other community location,293 Gallery,3
2023,Ballarat,2 Community,29 Other community location,294 Car Wash,13
2023,Ballarat,3 Other,31 Admin/professional,311 Business Office,75
2023,Ballarat,3 Other,31 Admin/professional,312 Other Admin/Professional,17
2023,Ballarat,3 Other,32 Financial,321 Bank,7
2023,Ballarat,3 Other,32 Financial,323 ATM/Eftpos,1
2023,Ballarat,3 Other,32 Financial,324 Other Financial,1
2023,Ballarat,3 Other,33 Retail,331 Chemist/Pharmacy,9
2023,Ballarat,3 Other,33 Retail,3310 24Hr Convenience,21
2023,Ballarat,3 Other,33 Retail,3311 Restaurant/Fastfood,108
2023,Ballarat,3 Other,33 Retail,3312 Other Retail,419
2023,Ballarat,3 Other,33 Retail,332 Service Station,427
2023,Ballarat,3 Other,33 Retail,333 Jeweller,2
2023,Ballarat,3 Other,33 Retail,334 2nd Hand Dealer,45
2023,Ballarat,3 Other,33 Retail,335 Supermarket,209
2023,Ballarat,3 Other,33 Retail,336 Department Store,131
2023,Ballarat,3 Other,33 Retail,337 Shopping Complex,276
2023,Ballarat,3 Other,33 Retail,338 Car Sales Yard,87
2023,Ballarat,3 Other,33 Retail,339 Milkbar,1
2023,Ballarat,3 Other,34 Wholesale,341 Any Wholesale,9
2023,Ballarat,3 Other,35 Warehousing/storage,351 Warehousing/Storage,81
2023,Ballarat,3 Other,36 Manufacturing,361 Factory,55
2023,Ballarat,3 Other,36 Manufacturing,362 Any Manufacturing,12
2023,Ballarat,3 Other,37 Agricultural,371 Farmland/Agricultural,17
2023,Ballarat,3 Other,37 Agricultural,373 Other Agricultural,8
2023,Ballarat,3 Other,38 Recreational,381 Licensed Premises,200
2023,Ballarat,3 Other,38 Recreational,382 Tab,6
2023,Ballarat,3 Other,38 Recreational,383 Cinema,2
2023,Ballarat,3 Other,38 Recreational,384 Sport Area/Facility,75
2023,Ballarat,3 Other,38 Recreational,385 Gaming Venue,8
2023,Ballarat,3 Other,38 Recreational,386 Other Rec./Sports,41
2023,Ballarat,3 Other,38 Recreational,387 Gym/Fitness,8
2023,Ballarat,3 Other,39 Other location,391 Massage Parlour/Brothel,4
2023,Ballarat,3 Other,39 Other location,392 Other Location (Not Elsewhere),101
2023,Ballarat,3 Other,39 Other location,393 Construction Site,37
2023,Banyule,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,528
2023,Banyule,1 Residential,11 Dwelling - private,112 House,2401
2023,Banyule,1 Residential,11 Dwelling - private,113 Bungalow,5
2023,Banyule,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,1
2023,Banyule,1 Residential,11 Dwelling - private,115 Houseboat,1
2023,Banyule,1 Residential,11 Dwelling - private,116 Ministry Of Housing,47
2023,Banyule,1 Residential,12 Dwelling  - non-private,121 Boarding House,14
2023,Banyule,1 Residential,12 Dwelling  - non-private,122 Holiday Home,6
2023,Banyule,1 Residential,12 Dwelling  - non-private,123 Guest House,1
2023,Banyule,1 Residential,12 Dwelling  - non-private,124 Nursing Home,8
2023,Banyule,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,13
2023,Banyule,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,13
2023,Banyule,1 Residential,13 Grounds/surrounding land,1311 Storage Cage,2
2023,Banyule,1 Residential,13 Grounds/surrounding land,132 Backyard,49
2023,Banyule,1 Residential,13 Grounds/surrounding land,133 Frontyard,121
2023,Banyule,1 Residential,13 Grounds/surrounding land,134 Garage,37
2023,Banyule,1 Residential,13 Grounds/surrounding land,135 Shed,6
2023,Banyule,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,8
2023,Banyule,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),25
2023,Banyule,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,278
2023,Banyule,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,44
2023,Banyule,2 Community,21 Education,211 School,30
2023,Banyule,2 Community,21 Education,212 School Grounds,30
2023,Banyule,2 Community,21 Education,213 Other Educational,20
2023,Banyule,2 Community,22 Health,221 Hospital,96
2023,Banyule,2 Community,22 Health,222 Medical Centre,22
2023,Banyule,2 Community,22 Health,223 Dental,4
2023,Banyule,2 Community,22 Health,224 Other Health,46
2023,Banyule,2 Community,23 Religious,231 Church,13
2023,Banyule,2 Community,24 Public Transport,241 Train,10
2023,Banyule,2 Community,24 Public Transport,242 Train Station,92
2023,Banyule,2 Community,24 Public Transport,243 Railway Carpark,27
2023,Banyule,2 Community,24 Public Transport,244 Tram/Tram Stop,6
2023,Banyule,2 Community,24 Public Transport,245 Bus/Bus Stop,32
2023,Banyule,2 Community,24 Public Transport,246 Depot/Terminal,2
2023,Banyule,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2023,Banyule,2 Community,24 Public Transport,249 Taxi,5
2023,Banyule,2 Community,25 Other Transport,251 Private Car,12
2023,Banyule,2 Community,25 Other Transport,255 Carpark (Single Level),109
2023,Banyule,2 Community,25 Other Transport,256 Carpark (Multi Level),30
2023,Banyule,2 Community,25 Other Transport,257 Other Transport Type/Area,6
2023,Banyule,2 Community,26 Justice,261 Police Station,181
2023,Banyule,2 Community,26 Justice,262 Court,691
2023,Banyule,2 Community,26 Justice,264 Youth Training Centre,1
2023,Banyule,2 Community,26 Justice,265 Other Justice Facility,10
2023,Banyule,2 Community,26 Justice,269 Other Justice (nec),1
2023,Banyule,2 Community,27 Open Space,271 Parkland/Reserve,48
2023,Banyule,2 Community,27 Open Space,273 Vacant Block,2
2023,Banyule,2 Community,27 Open Space,275 Other Open Space,11
2023,Banyule,2 Community,28 Street/footpath,281 Street/Lane/Footpath,959
2023,Banyule,2 Community,29 Other community location,291 Cemetery,1
2023,Banyule,2 Community,29 Other community location,292 Civic Centre,7
2023,Banyule,2 Community,29 Other community location,294 Car Wash,27
2023,Banyule,3 Other,31 Admin/professional,311 Business Office,27
2023,Banyule,3 Other,31 Admin/professional,312 Other Admin/Professional,16
2023,Banyule,3 Other,32 Financial,321 Bank,4
2023,Banyule,3 Other,32 Financial,323 ATM/Eftpos,3
2023,Banyule,3 Other,32 Financial,324 Other Financial,1
2023,Banyule,3 Other,33 Retail,331 Chemist/Pharmacy,121
2023,Banyule,3 Other,33 Retail,3310 24Hr Convenience,11
2023,Banyule,3 Other,33 Retail,3311 Restaurant/Fastfood,64
2023,Banyule,3 Other,33 Retail,3312 Other Retail,187
2023,Banyule,3 Other,33 Retail,332 Service Station,129
2023,Banyule,3 Other,33 Retail,333 Jeweller,3
2023,Banyule,3 Other,33 Retail,334 2nd Hand Dealer,20
2023,Banyule,3 Other,33 Retail,335 Supermarket,142
2023,Banyule,3 Other,33 Retail,336 Department Store,20
2023,Banyule,3 Other,33 Retail,337 Shopping Complex,212
2023,Banyule,3 Other,33 Retail,338 Car Sales Yard,10
2023,Banyule,3 Other,33 Retail,339 Milkbar,4
2023,Banyule,3 Other,34 Wholesale,341 Any Wholesale,3
2023,Banyule,3 Other,35 Warehousing/storage,351 Warehousing/Storage,21
2023,Banyule,3 Other,36 Manufacturing,361 Factory,91
2023,Banyule,3 Other,36 Manufacturing,362 Any Manufacturing,9
2023,Banyule,3 Other,38 Recreational,381 Licensed Premises,46
2023,Banyule,3 Other,38 Recreational,383 Cinema,1
2023,Banyule,3 Other,38 Recreational,384 Sport Area/Facility,50
2023,Banyule,3 Other,38 Recreational,385 Gaming Venue,12
2023,Banyule,3 Other,38 Recreational,386 Other Rec./Sports,14
2023,Banyule,3 Other,38 Recreational,387 Gym/Fitness,14
2023,Banyule,3 Other,39 Other location,391 Massage Parlour/Brothel,6
2023,Banyule,3 Other,39 Other location,392 Other Location (Not Elsewhere),44
2023,Banyule,3 Other,39 Other location,393 Construction Site,14
2023,Bass Coast,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,122
2023,Bass Coast,1 Residential,11 Dwelling - private,112 House,1193
2023,Bass Coast,1 Residential,11 Dwelling - private,113 Bungalow,6
2023,Bass Coast,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,12
2023,Bass Coast,1 Residential,11 Dwelling - private,115 Houseboat,1
2023,Bass Coast,1 Residential,11 Dwelling - private,116 Ministry Of Housing,11
2023,Bass Coast,1 Residential,11 Dwelling - private,117 Farm House,18
2023,Bass Coast,1 Residential,12 Dwelling  - non-private,122 Holiday Home,60
2023,Bass Coast,1 Residential,12 Dwelling  - non-private,123 Guest House,9
2023,Bass Coast,1 Residential,12 Dwelling  - non-private,124 Nursing Home,2
2023,Bass Coast,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,35
2023,Bass Coast,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,10
2023,Bass Coast,1 Residential,13 Grounds/surrounding land,1310 Farm Building,5
2023,Bass Coast,1 Residential,13 Grounds/surrounding land,1311 Storage Cage,1
2023,Bass Coast,1 Residential,13 Grounds/surrounding land,132 Backyard,28
2023,Bass Coast,1 Residential,13 Grounds/surrounding land,133 Frontyard,51
2023,Bass Coast,1 Residential,13 Grounds/surrounding land,134 Garage,34
2023,Bass Coast,1 Residential,13 Grounds/surrounding land,135 Shed,12
2023,Bass Coast,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,18
2023,Bass Coast,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),11
2023,Bass Coast,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,74
2023,Bass Coast,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,8
2023,Bass Coast,2 Community,21 Education,211 School,26
2023,Bass Coast,2 Community,21 Education,212 School Grounds,19
2023,Bass Coast,2 Community,21 Education,213 Other Educational,8
2023,Bass Coast,2 Community,22 Health,221 Hospital,3
2023,Bass Coast,2 Community,22 Health,222 Medical Centre,5
2023,Bass Coast,2 Community,22 Health,224 Other Health,1
2023,Bass Coast,2 Community,23 Religious,231 Church,1
2023,Bass Coast,2 Community,24 Public Transport,2410 Rail Track,1
2023,Bass Coast,2 Community,24 Public Transport,245 Bus/Bus Stop,10
2023,Bass Coast,2 Community,25 Other Transport,251 Private Car,2
2023,Bass Coast,2 Community,25 Other Transport,254 Dock/Wharf,3
2023,Bass Coast,2 Community,25 Other Transport,255 Carpark (Single Level),39
2023,Bass Coast,2 Community,25 Other Transport,256 Carpark (Multi Level),1
2023,Bass Coast,2 Community,25 Other Transport,257 Other Transport Type/Area,2
2023,Bass Coast,2 Community,26 Justice,261 Police Station,28
2023,Bass Coast,2 Community,26 Justice,262 Court,7
2023,Bass Coast,2 Community,27 Open Space,271 Parkland/Reserve,31
2023,Bass Coast,2 Community,27 Open Space,272 Rural,6
2023,Bass Coast,2 Community,27 Open Space,273 Vacant Block,3
2023,Bass Coast,2 Community,27 Open Space,274 Beach Foreshore,15
2023,Bass Coast,2 Community,27 Open Space,275 Other Open Space,13
2023,Bass Coast,2 Community,27 Open Space,276 Beach Car Park,19
2023,Bass Coast,2 Community,28 Street/footpath,281 Street/Lane/Footpath,287
2023,Bass Coast,2 Community,29 Other community location,291 Cemetery,5
2023,Bass Coast,2 Community,29 Other community location,292 Civic Centre,1
2023,Bass Coast,2 Community,29 Other community location,294 Car Wash,2
2023,Bass Coast,3 Other,31 Admin/professional,311 Business Office,7
2023,Bass Coast,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2023,Bass Coast,3 Other,32 Financial,321 Bank,4
2023,Bass Coast,3 Other,33 Retail,331 Chemist/Pharmacy,7
2023,Bass Coast,3 Other,33 Retail,3310 24Hr Convenience,6
2023,Bass Coast,3 Other,33 Retail,3311 Restaurant/Fastfood,45
2023,Bass Coast,3 Other,33 Retail,3312 Other Retail,89
2023,Bass Coast,3 Other,33 Retail,332 Service Station,54
2023,Bass Coast,3 Other,33 Retail,335 Supermarket,75
2023,Bass Coast,3 Other,33 Retail,336 Department Store,10
2023,Bass Coast,3 Other,33 Retail,337 Shopping Complex,29
2023,Bass Coast,3 Other,33 Retail,338 Car Sales Yard,3
2023,Bass Coast,3 Other,33 Retail,339 Milkbar,3
2023,Bass Coast,3 Other,34 Wholesale,341 Any Wholesale,1
2023,Bass Coast,3 Other,35 Warehousing/storage,351 Warehousing/Storage,12
2023,Bass Coast,3 Other,36 Manufacturing,361 Factory,13
2023,Bass Coast,3 Other,36 Manufacturing,362 Any Manufacturing,4
2023,Bass Coast,3 Other,37 Agricultural,371 Farmland/Agricultural,12
2023,Bass Coast,3 Other,37 Agricultural,373 Other Agricultural,2
2023,Bass Coast,3 Other,38 Recreational,381 Licensed Premises,71
2023,Bass Coast,3 Other,38 Recreational,384 Sport Area/Facility,13
2023,Bass Coast,3 Other,38 Recreational,385 Gaming Venue,6
2023,Bass Coast,3 Other,38 Recreational,386 Other Rec./Sports,12
2023,Bass Coast,3 Other,38 Recreational,387 Gym/Fitness,1
2023,Bass Coast,3 Other,39 Other location,392 Other Location (Not Elsewhere),53
2023,Bass Coast,3 Other,39 Other location,393 Construction Site,5
2023,Baw Baw,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,183
2023,Baw Baw,1 Residential,11 Dwelling - private,112 House,1649
2023,Baw Baw,1 Residential,11 Dwelling - private,113 Bungalow,10
2023,Baw Baw,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,11
2023,Baw Baw,1 Residential,11 Dwelling - private,115 Houseboat,3
2023,Baw Baw,1 Residential,11 Dwelling - private,116 Ministry Of Housing,3
2023,Baw Baw,1 Residential,11 Dwelling - private,117 Farm House,30
2023,Baw Baw,1 Residential,12 Dwelling  - non-private,121 Boarding House,4
2023,Baw Baw,1 Residential,12 Dwelling  - non-private,122 Holiday Home,5
2023,Baw Baw,1 Residential,12 Dwelling  - non-private,124 Nursing Home,3
2023,Baw Baw,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,20
2023,Baw Baw,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,4
2023,Baw Baw,1 Residential,13 Grounds/surrounding land,1310 Farm Building,7
2023,Baw Baw,1 Residential,13 Grounds/surrounding land,132 Backyard,39
2023,Baw Baw,1 Residential,13 Grounds/surrounding land,133 Frontyard,102
2023,Baw Baw,1 Residential,13 Grounds/surrounding land,134 Garage,51
2023,Baw Baw,1 Residential,13 Grounds/surrounding land,135 Shed,26
2023,Baw Baw,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,4
2023,Baw Baw,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),20
2023,Baw Baw,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,156
2023,Baw Baw,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,4
2023,Baw Baw,2 Community,21 Education,211 School,59
2023,Baw Baw,2 Community,21 Education,212 School Grounds,20
2023,Baw Baw,2 Community,21 Education,213 Other Educational,7
2023,Baw Baw,2 Community,22 Health,221 Hospital,5
2023,Baw Baw,2 Community,22 Health,222 Medical Centre,5
2023,Baw Baw,2 Community,22 Health,224 Other Health,15
2023,Baw Baw,2 Community,23 Religious,231 Church,3
2023,Baw Baw,2 Community,23 Religious,232 Other religious,2
2023,Baw Baw,2 Community,24 Public Transport,241 Train,9
2023,Baw Baw,2 Community,24 Public Transport,242 Train Station,75
2023,Baw Baw,2 Community,24 Public Transport,243 Railway Carpark,13
2023,Baw Baw,2 Community,24 Public Transport,245 Bus/Bus Stop,8
2023,Baw Baw,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2023,Baw Baw,2 Community,24 Public Transport,249 Taxi,1
2023,Baw Baw,2 Community,25 Other Transport,251 Private Car,8
2023,Baw Baw,2 Community,25 Other Transport,255 Carpark (Single Level),56
2023,Baw Baw,2 Community,25 Other Transport,256 Carpark (Multi Level),1
2023,Baw Baw,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2023,Baw Baw,2 Community,26 Justice,261 Police Station,43
2023,Baw Baw,2 Community,26 Justice,262 Court,1
2023,Baw Baw,2 Community,27 Open Space,271 Parkland/Reserve,97
2023,Baw Baw,2 Community,27 Open Space,272 Rural,12
2023,Baw Baw,2 Community,27 Open Space,273 Vacant Block,3
2023,Baw Baw,2 Community,27 Open Space,275 Other Open Space,11
2023,Baw Baw,2 Community,28 Street/footpath,281 Street/Lane/Footpath,509
2023,Baw Baw,2 Community,29 Other community location,291 Cemetery,3
2023,Baw Baw,2 Community,29 Other community location,292 Civic Centre,4
2023,Baw Baw,2 Community,29 Other community location,293 Gallery,1
2023,Baw Baw,2 Community,29 Other community location,294 Car Wash,2
